20301	        3669.625        1056.095        206.590
20401	        4148.929        1052.744        238.586
20501	        4904.337        1028.159        279.611
30301	        3531.229        1924.968        228.451
30401	        4233.988        2082.032        207.522
30503	        4974.747        1885.084        203.982
30509	        5116.276        1893.884        204.363
30515	        5263.854        1908.858        203.588
40301	        3581.991        3142.414        285.436
40401	        4211.716        3182.034        277.742
40504	        5250.683        3373.181        225.300
